order3,order4,order5,order6,order7
955.70044,785.58594,609.91357,403.48526,155.05330
955.70905,785.61182,609.98199,403.61844,155.27032
955.71759,785.63770,610.05042,403.75153,155.48723
955.72607,785.66357,610.11865,403.88452,155.70398
955.73462,785.68945,610.18689,404.01743,155.92062
955.74316,785.71521,610.25513,404.15027,156.13712
955.75171,785.74097,610.32324,404.28299,156.35349
955.76013,785.76672,610.39136,404.41562,156.56973
955.76868,785.79242,610.45935,404.54816,156.78583
955.77710,785.81812,610.52734,404.68060,157.00180
955.78558,785.84375,610.59521,404.81296,157.21765
955.79407,785.86932,610.66309,404.94522,157.43336
955.80249,785.89490,610.73083,405.07739,157.64894
955.81091,785.92047,610.79858,405.20947,157.86440
955.81934,785.94604,610.86627,405.34149,158.07971
955.82776,785.97150,610.93396,405.47336,158.29491
955.83618,785.99695,611.00146,405.60516,158.50996
955.84454,786.02234,611.06897,405.73688,158.72488
955.85291,786.04779,611.13641,405.86853,158.93968
955.86127,786.07312,611.20386,406.00006,159.15436
955.86963,786.09851,611.27118,406.13150,159.36890
955.87793,786.12378,611.33850,406.26285,159.58330
955.88629,786.14905,611.40570,406.39410,159.79756
955.89459,786.17432,611.47290,406.52527,160.01170
955.90295,786.19952,611.53998,406.65637,160.22572
955.91125,786.22473,611.60706,406.78735,160.43961
955.91949,786.24988,611.67407,406.91824,160.65335
955.92780,786.27502,611.74097,407.04901,160.86697
955.93604,786.30011,611.80786,407.17975,161.08047
955.94434,786.32520,611.87476,407.31036,161.29382
955.95251,786.35022,611.94153,407.44092,161.50706
955.96082,786.37524,612.00824,407.57135,161.72015
955.96899,786.40015,612.07495,407.70169,161.93314
955.97723,786.42511,612.14148,407.83197,162.14597
955.98541,786.45007,612.20801,407.96213,162.35867
955.99365,786.47491,612.27454,408.09222,162.57126
956.00183,786.49976,612.34100,408.22220,162.78371
956.00995,786.52454,612.40735,408.35208,162.99603
956.01813,786.54938,612.47375,408.48187,163.20822
956.02625,786.57416,612.54004,408.61160,163.42029
956.03442,786.59888,612.60620,408.74121,163.63222
956.04254,786.62360,612.67236,408.87076,163.84401
956.05066,786.64825,612.73846,409.00021,164.05568
956.05872,786.67285,612.80457,409.12958,164.26723
956.06689,786.69751,612.87054,409.25885,164.47864
956.07495,786.72205,612.93646,409.38800,164.68993
956.08301,786.74664,613.00232,409.51709,164.90106
956.09106,786.77112,613.06818,409.64606,165.11209
956.09912,786.79565,613.13391,409.77496,165.32300
956.10718,786.82007,613.19965,409.90381,165.53375
956.11523,786.84448,613.26532,410.03250,165.74438
956.12323,786.86890,613.33093,410.16113,165.95490
956.13123,786.89331,613.39648,410.28967,166.16527
956.13922,786.91760,613.46198,410.41812,166.37552
956.14722,786.94196,613.52740,410.54648,166.58563
956.15521,786.96619,613.59277,410.67474,166.79562
956.16321,786.99048,613.65808,410.80292,167.00549
956.17114,787.01471,613.72339,410.93103,167.21523
956.17908,787.03888,613.78857,411.05902,167.42484
956.18701,787.06305,613.85376,411.18695,167.63431
956.19495,787.08716,613.91888,411.31476,167.84366
956.20282,787.11127,613.98389,411.44250,168.05287
956.21069,787.13538,614.04889,411.57013,168.26195
956.21863,787.15936,614.11383,411.69769,168.47092
956.22656,787.18335,614.17871,411.82513,168.67975
956.23438,787.20740,614.24353,411.95251,168.88846
956.24225,787.23132,614.30835,412.07980,169.09702
956.25012,787.25525,614.37305,412.20697,169.30547
956.25793,787.27917,614.43774,412.33411,169.51379
956.26575,787.30298,614.50232,412.46112,169.72197
956.27356,787.32684,614.56689,412.58801,169.93002
956.28143,787.35059,614.63135,412.71484,170.13797
956.28918,787.37439,614.69580,412.84161,170.34576
956.29700,787.39813,614.76013,412.96826,170.55344
956.30475,787.42188,614.82452,413.09482,170.76099
956.31250,787.44556,614.88879,413.22131,170.96841
956.32031,787.46918,614.95300,413.34769,171.17570
956.32806,787.49280,615.01715,413.47400,171.38287
956.33582,787.51642,615.08130,413.60022,171.58990
956.34351,787.53998,615.14532,413.72632,171.79681
956.35120,787.56348,615.20935,413.85236,172.00359
956.35895,787.58704,615.27325,413.97830,172.21024
956.36658,787.61047,615.33716,414.10413,172.41676
956.37427,787.63391,615.40100,414.22992,172.62317
956.38196,787.65735,615.46472,414.35559,172.82944
956.38965,787.68073,615.52844,414.48117,173.03557
956.39734,787.70410,615.59216,414.60669,173.24158
956.40491,787.72742,615.65576,414.73206,173.44746
956.41260,787.75073,615.71930,414.85739,173.65323
956.42017,787.77399,615.78284,414.98260,173.85886
956.42780,787.79724,615.84631,415.10776,174.06436
956.43542,787.82043,615.90967,415.23279,174.26974
956.44299,787.84363,615.97302,415.35779,174.47499
956.45056,787.86670,616.03632,415.48267,174.68011
956.45813,787.88983,616.09949,415.60742,174.88510
956.46570,787.91296,616.16272,415.73212,175.08998
956.47327,787.93604,616.22583,415.85675,175.29471
956.48083,787.95898,616.28888,415.98126,175.49933
956.48828,787.98206,616.35187,416.10571,175.70383
956.49585,788.00500,616.41479,416.23004,175.90817
956.50336,788.02795,616.47778,416.35431,176.11241
956.51086,788.05090,616.54059,416.47845,176.31651
956.51831,788.07373,616.60339,416.60254,176.52049
956.52582,788.09656,616.66614,416.72653,176.72435
956.53326,788.11938,616.72876,416.85043,176.92807
