HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459761.80707,2022-07-01.3012961,bF,1.46,16.619,14.245,0.025,7.285,0.166,g
2459761.83194,2022-07-01.3261547,bj,2.02,16.402,14.267,0.031,7.128,0.202,g
2459761.83319,2022-07-01.3274105,bj,2.03,16.456,14.221,0.028,7.444,0.192,g
2459761.83443,2022-07-01.3286509,bj,2.03,16.434,14.252,0.029,7.229,0.196,g
2459766.28313,2022-07-05.7773478,bn,1.54,16.159,14.553,0.050,5.480,0.251,g
2459768.44710,2022-07-07.9413192,bn,1.46,16.184,14.371,0.041,6.484,0.246,g
2459768.44834,2022-07-07.9425609,bn,1.45,16.201,14.420,0.042,6.196,0.241,g
2459768.44958,2022-07-07.9438026,bn,1.48,16.145,14.443,0.046,6.060,0.255,g
2459769.82306,2022-07-09.3172807,bF,1.49,16.537,14.336,0.029,6.694,0.178,g
2459769.82435,2022-07-09.3185773,bF,1.52,16.433,14.302,0.031,6.906,0.196,g
2459769.82564,2022-07-09.3198741,bF,1.48,16.539,14.278,0.027,7.057,0.178,g
2459771.85703,2022-07-11.3512733,br,1.91,15.614,14.369,0.071,6.496,0.416,g
2459771.85826,2022-07-11.3525120,br,1.96,15.539,14.502,0.085,5.742,0.446,g
2459771.85950,2022-07-11.3537453,br,1.86,15.436,14.387,0.084,6.389,0.493,g
2459775.50583,2022-07-15.0001232,bn,1.44,15.052,14.500,0.132,5.757,0.694,g
2459775.50708,2022-07-15.0013770,bn,1.56,15.018,14.462,0.131,5.962,0.716,g
2459775.50832,2022-07-15.0026202,bn,1.59,15.093,14.640,0.144,5.061,0.668,g
2459776.88943,2022-07-16.3837513,br,1.49,15.551,14.418,0.077,6.206,0.439,g
2459776.89067,2022-07-16.3849921,br,1.32,15.606,14.162,0.058,7.857,0.419,g
2459776.89190,2022-07-16.3862190,br,1.48,15.543,14.248,0.067,7.256,0.443,g
2459779.76296,2022-07-19.2573503,br,1.36,16.419,14.371,0.033,6.480,0.198,g
2459779.76419,2022-07-19.2585733,br,1.44,16.494,14.422,0.032,6.185,0.185,g
2459779.76541,2022-07-19.2597907,br,1.46,16.449,14.322,0.031,6.785,0.193,g
2459779.80832,2022-07-19.3027013,br,1.46,16.346,14.231,0.031,7.377,0.213,g
2459779.80953,2022-07-19.3039152,br,1.45,16.318,14.290,0.034,6.981,0.217,g
2459779.81073,2022-07-19.3051185,br,1.41,16.321,14.352,0.036,6.595,0.216,g
2459782.67883,2022-07-22.1732886,bF,1.44,16.580,14.315,0.027,6.825,0.171,g
2459782.68013,2022-07-22.1745837,bF,1.44,16.645,14.374,0.027,6.459,0.161,g
2459782.68141,2022-07-22.1758731,bF,1.41,16.647,14.307,0.025,6.875,0.160,g
2459783.86349,2022-07-23.3579785,br,1.45,15.777,14.141,0.052,8.009,0.376,g
2459783.86471,2022-07-23.3592072,br,1.45,15.919,14.430,0.057,6.135,0.316,g
2459783.86595,2022-07-23.3604503,br,1.48,15.571,14.240,0.066,7.311,0.443,g
2459785.50141,2022-07-24.9959564,bF,1.51,16.653,14.335,0.026,6.703,0.160,g
2459785.50271,2022-07-24.9972552,bF,1.47,16.552,14.328,0.028,6.741,0.175,g
2459785.50401,2022-07-24.9985601,bF,1.50,16.583,14.354,0.028,6.588,0.170,g
2459785.53023,2022-07-25.0247812,bj,1.49,16.606,14.391,0.028,6.364,0.167,g
2459785.53146,2022-07-25.0260167,bj,1.54,16.423,14.343,0.032,6.649,0.197,g
2459785.53270,2022-07-25.0272498,bj,1.60,16.485,14.417,0.033,6.209,0.186,g
