oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
334215200022630,49243842,2458246.9419222900,58246.4384259,14.367239,0.01987206,0,zr,282.4644447,-13.676152200000000,1.69000006,-0.0960000008,20180508438414,334,15,2,19.8099995,26.248867,0.030271478,0.08488217,1.67666858E-05,30.0,1.65900004,1
334215200022630,49545921,2458249.9629469620,58249.4592130,14.421194,0.01984573,0,zr,282.4645202,-13.676058800000000,2.15599990,0.0350000001,20180511458900,334,15,2,19.3500004,26.192406,0.046508458,0.09727413,4.39561736E-05,30.0,1.58299994,1
334215200022630,50837533,2458262.8799728397,58262.3753356,14.730955,0.01974287,0,zr,282.4644544,-13.676178400000000,1.08599997,-0.0460000001,20180524375324,334,15,2,20.0599995,26.230947,0.026792213,0.07654994,1.32236464E-05,30.0,1.75699997,1
334215200022630,51940320,2458273.9084483217,58273.4032060,14.439791,0.01983719,0,zr,282.4644382,-13.676195300000000,1.22899997,-0.0109999999,20180604403206,334,15,2,19.8700008,26.232040,0.022174304,0.07934314,9.11794268E-06,30.0,1.57299995,1
334215200022630,53233490,2458286.8406366880,58286.3349074,14.516922,0.01980477,0,zr,282.4644365,-13.676209800000000,0.70800000,-0.0500000007,20180617334907,334,15,2,20.6200008,26.254116,0.024015574,0.06300011,1.06175203E-05,30.0,1.64100003,1
334215200022630,53532446,2458289.8302726895,58289.3244676,14.488952,0.01981595,0,zr,282.4644433,-13.676204300000000,0.85600001,-0.0260000005,20180620324456,334,15,2,20.1000004,26.204344,0.020733137,0.08763049,7.78838057E-06,30.0,1.65100002,1
334215200022630,53831366,2458292.8195356717,58292.3136690,14.463039,0.01982690,0,zr,282.4644514,-13.676197300000000,0.62500000,-0.0570000000,20180623313669,334,15,2,20.2500000,26.236231,0.018236408,0.08040366,6.07453194E-06,30.0,1.66299999,1
334215200022630,54129253,2458295.7984485086,58295.2925347,14.432834,0.01984035,0,zr,282.4644521,-13.676210800000000,0.77100003,-0.0410000011,20180626292303,334,15,2,19.8199997,26.223763,0.022373658,0.06715729,9.44376188E-06,30.0,1.72200000,1
334215200022630,54835490,2458302.8608757820,58302.3549074,14.702985,0.01974842,32768,zr,282.4645074,-13.676118900000000,5.04500008,0.0689999983,20180703354676,334,15,2,19.7800007,26.402279,0.053054702,0.05725353,9.63003986E-05,30.0,1.60200000,1
334215200022630,55135486,2458305.8608281530,58305.3548611,14.477692,0.01982064,0,zr,282.4644501,-13.676205800000000,1.03900003,-0.0070000002,20180706354653,334,15,2,19.7099991,26.145851,0.028811684,0.07956770,1.55002781E-05,30.0,1.62100005,1
