GaiaEDR3	R.A.	Decl.	piv	G	G_BP-G_RP	G_abs	P_orb	A	NaN
1864121982365984128	310.19402	34.11743	0.55	17.41	0.42	6.14	107.543	2.94	
1943858286426802304	356.26684	50.96520	0.43	16.43	-0.13	4.62	116.686	2.18	
1965596391525733120	320.17691	40.24297	0.62	17.02	0.25	5.99	117.598	3.02	
3154801672464733440	109.74027	7.65367	0.52	15.22	-0.41	3.82	121.625	2.51	
5753841281270433536	129.05426	-8.03995	0.51	15.28	-0.37	3.81	127.971	2.35	
2209063896962507520	352.22684	64.26275	0.53	17.37	0.91	5.99	128.107	2.47	
2182023160826160000	311.65906	51.79319	0.93	15.22	0.18	5.07	129.086	4.19	
2961366588952039552	79.52903	-23.14588	0.42	15.89	-0.35	3.97	131.287	1.91	
5646693014160460416	126.95875	-27.61052	0.38	16.86	-0.18	4.78	132.154	1.82	
2791084432881749760	18.41288	22.96084	0.42	16.61	-0.38	4.74	134.457	2.00	
3026543267432558336	112.27269	-18.61764	0.51	15.91	0.19	4.44	135.012	2.24	
1102107819544067456	107.67521	66.92872	0.79	14.62	-0.36	4.10	137.731	3.41	
3077510098136276480	125.22307	0.14541	0.66	15.15	-0.35	4.25	138.586	2.84	
3637481302758519040	204.70058	-2.03039	1.68	13.36	-0.40	4.49	145.463	6.98	
250657727370153472	61.34537	50.73949	0.73	17.45	0.99	6.77	153.322	3.00	
564551735705888384	4.15468	78.92195	0.38	16.53	-0.17	4.46	153.782	1.62	
4504497623459700992	282.19609	11.95561	0.49	16.69	0.06	5.14	153.837	2.03	
1877320760449993216	338.58958	24.94919	1.08	14.16	-0.36	4.35	159.246	4.24	
4247741141287799680	301.71988	4.270338	0.49	16.22	-0.13	4.68	179.658	1.82	
6880002734442865920	306.40622	-12.00433	0.44	16.32	-0.36	4.56	180.145	1.73	
1978219536621659136	322.92266	46.90833	0.39	17.38	0.07	5.39	187.154	1.56	
6888269309535155456	315.07248	-14.19017	0.44	16.55	-0.31	4.76	208.848	1.54	
2025568909688842112	290.67035	26.40430	0.44	17.63	0.41	5.86	218.801	1.54	
2287403962995179264	349.67784	82.53852	0.38	16.89	-0.09	4.79	226.186	1.26	
2010408220561381632	348.84423	58.48000	0.66	17.61	0.87	6.72	228.536	2.11	
4078817195637328256	283.07503	-21.79744	1.12	13.75	-0.16	3.99	231.945	3.41	
1375814952762454272	233.45602	37.99106	1.90	12.94	-0.38	4.34	232.949	5.78	
5619901038222784768	111.12425	-21.17284	0.40	17.53	0.24	5.56	235.387	1.36	
1968673301791825920	319.55255	40.79099	0.44	16.71	0.05	4.95	245.292	1.35	
4507223312777873280	283.03169	14.76307	0.85	14.99	0.24	4.65	274.199	2.32	
4286518927853983360	280.17673	7.05606	0.58	16.39	0.25	5.23	275.205	1.62	
2219505890166498048	326.73603	66.26855	0.68	16.21	0.37	5.37	278.565	1.84	
4102198997623267456	282.46445	-13.67621	1.62	14.36	0.42	5.41	285.042	4.31	
3117155669938231552	96.62394	-2.84625	0.54	16.01	0.04	4.65	286.257	1.45	
2056653885784893952	308.89592	35.73469	0.72	16.46	0.52	5.74	294.433	1.88	
2188514226495429632	306.31183	58.85225	0.38	17.53	0.13	5.46	295.608	1.12	
1110899853820753792	118.37031	72.40680	0.38	16.48	-0.21	4.35	299.884	1.05	
4283927443344408960	279.58508	5.00373	0.57	17.42	0.66	6.21	302.844	1.53	
2812551023024830720	351.71862	12.50606	1.39	14.33	-0.17	5.04	305.145	3.52	
4303030190905072640	294.76892	11.18227	0.81	14.86	-0.14	4.41	306.883	2.05	
1131845039229607680	137.58201	78.17318	0.40	16.14	-0.32	4.16	337.571	1.00	
2003241230122936064	340.21327	54.63084	0.70	14.98	0.01	4.21	339.664	1.66	
1866796475676061056	317.98098	33.43218	0.78	15.36	-0.22	4.82	356.308	1.79	
4262586854711451904	286.55537	-0.85630	0.79	15.73	0.25	5.22	358.359	1.80	
1869815700251723392	314.51502	36.08310	0.46	16.34	0.02	4.64	360.352	1.06	
1806486197003559040	301.04835	14.19727	0.48	16.86	-0.18	5.26	369.263	1.13	
2111853428244955264	277.71017	43.52205	0.38	16.16	-0.37	4.05	389.899	0.85	
2969438206889996160	79.94864	-19.28166	1.08	13.59	-0.35	3.75	395.409	2.30	
1862846132257229312	311.35609	32.00379	0.69	17.26	0.91	6.46	400.113	1.49	
2068952271239193344	306.28696	42.79075	0.99	15.06	-0.05	5.05	421.206	2.03	
4307083884080817792	284.85281	7.85063	1.26	15.61	0.51	6.11	428.491	2.55	
4290201742045065344	295.02546	4.35965	0.54	16.31	-0.05	4.96	444.643	1.08	
4467130720760209152	247.68937	18.02232	0.63	15.37	-0.27	4.36	445.391	1.25	
2202073408192045056	336.63336	61.98438	0.68	17.05	0.96	6.22	447.947	1.35	
3310121300640873984	70.47707	16.61040	1.21	15.42	0.59	5.83	447.968	2.38	
1819387836386252672	309.11556	23.83959	0.41	16.96	-0.07	5.04	518.007	0.79	
901929564359845888	122.11083	32.04179	1.21	13.78	-0.32	4.18	532.411	2.11	
4585381817643702528	277.82745	26.93670	0.40	14.96	-0.23	2.99	679.287	0.61	
